Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
09/25/2026 21:27:24,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:24,System.Runtime,IL Bytes Jitted (B),Metric,2458517
09/25/2026 21:27:24,System.Runtime,Number of Methods Jitted,Metric,26243
09/25/2026 21:27:24,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,1103.0548
09/25/2026 21:27:26,System.Runtime,CPU Usage (%),Metric,12.109375
09/25/2026 21:27:26,System.Runtime,Working Set (MB),Metric,550.48192
09/25/2026 21:27:26,System.Runtime,GC Heap Size (MB),Metric,76.05808
09/25/2026 21:27:26,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:26,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:26,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:26,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:26,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:26,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,113
09/25/2026 21:27:26,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:26,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,421
09/25/2026 21:27:26,System.Runtime,Allocation Rate (B / 2 sec),Rate,1129608
09/25/2026 21:27:26,System.Runtime,Number of Active Timers,Metric,16
09/25/2026 21:27:26,System.Runtime,GC Fragmentation (%),Metric,13.306457281420213
09/25/2026 21:27:26,System.Runtime,GC Committed Bytes (MB),Metric,92.966912
09/25/2026 21:27:26,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:26,System.Runtime,% Time in GC since last GC (%),Metric,2
09/25/2026 21:27:26,System.Runtime,Time paused by GC (ms / 2 sec),Rate,14.91900000000004
09/25/2026 21:27:26,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:26,System.Runtime,Gen 1 Size (B),Metric,5174536
09/25/2026 21:27:26,System.Runtime,Gen 2 Size (B),Metric,39131648
09/25/2026 21:27:26,System.Runtime,LOH Size (B),Metric,41653824
09/25/2026 21:27:26,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:26,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:26,System.Runtime,IL Bytes Jitted (B),Metric,2490063
09/25/2026 21:27:26,System.Runtime,Number of Methods Jitted,Metric,26679
09/25/2026 21:27:26,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,346.08050000000003
09/25/2026 21:27:28,System.Runtime,CPU Usage (%),Metric,11.71875
09/25/2026 21:27:28,System.Runtime,Working Set (MB),Metric,545.357824
09/25/2026 21:27:28,System.Runtime,GC Heap Size (MB),Metric,75.87264
09/25/2026 21:27:28,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,2
09/25/2026 21:27:28,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:28,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:28,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:28,System.Runtime,ThreadPool Thread Count,Metric,5
09/25/2026 21:27:28,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,135
09/25/2026 21:27:28,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:28,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,426
09/25/2026 21:27:28,System.Runtime,Allocation Rate (B / 2 sec),Rate,7340336
09/25/2026 21:27:28,System.Runtime,Number of Active Timers,Metric,16
09/25/2026 21:27:28,System.Runtime,GC Fragmentation (%),Metric,10.243846287033108
09/25/2026 21:27:28,System.Runtime,GC Committed Bytes (MB),Metric,92.966912
09/25/2026 21:27:28,System.Runtime,Exception Count (Count / 2 sec),Rate,8
09/25/2026 21:27:28,System.Runtime,% Time in GC since last GC (%),Metric,1
09/25/2026 21:27:28,System.Runtime,Time paused by GC (ms / 2 sec),Rate,32.8069999999999
09/25/2026 21:27:28,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:28,System.Runtime,Gen 1 Size (B),Metric,2198512
09/25/2026 21:27:28,System.Runtime,Gen 2 Size (B),Metric,39131648
09/25/2026 21:27:28,System.Runtime,LOH Size (B),Metric,41653824
09/25/2026 21:27:28,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:28,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:28,System.Runtime,IL Bytes Jitted (B),Metric,2516909
09/25/2026 21:27:28,System.Runtime,Number of Methods Jitted,Metric,26919
09/25/2026 21:27:28,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,225.98649999999907
09/25/2026 21:27:30,System.Runtime,CPU Usage (%),Metric,8.984375
09/25/2026 21:27:30,System.Runtime,Working Set (MB),Metric,541.5936
09/25/2026 21:27:30,System.Runtime,GC Heap Size (MB),Metric,81.266656
09/25/2026 21:27:30,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:30,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:30,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:30,System.Runtime,Gen 0 GC Budget (MB),Metric,5
